Source  zphot dzup dzlo  Mstar dMstarup dMstarlo
# Mstar in unit of 1e9
COS-z10-1  9.69  0.24 0.25  3.7  2.2   1.2 
COS-z12-1  12.08 0.13 0.13  4.0  1.3   1.3 
COS-z12-2  11.46 0.04 0.04  4.8  2.3   1.9 
COS-z12-3  11.46 0.20 0.23  5.1  4.1   1.7 
COS-z10-2  9.15  0.35 0.29  11   3.0   3.0 
COS-z10-3  9.22  0.35 0.27  1.3  0.5   0.5  
COS-z11-1  11.37 0.15 0.16  4.7  1.3   1.3 
COS-z11-2  10.63 0.43 0.46  5.0  2.9   2.9  
COS-z13-1  13.2  0.6  0.9   0.59 0.5   0.15 
COS-z13-2  13.4  1.2  1.5   5.6  2.4   1.3 
COS-z14-1  14.0  1.5  1.6   0.51 0.18  0.05 
