type  Mstar  Phi 
0 9.45475 5.22572
0 9.58784 5.15985
0 9.69660 5.04342
0 9.89236 4.82828
1 9.34729 5.39778
1 9.43689 5.45335
1 9.52905 5.48362
1 9.61352 5.49367
1 9.70566 5.44301
1 9.79011 5.38224
1 9.84897 5.30631
1 9.89246 5.22535
1 9.93084 5.16967
1 9.89498 5.04325
1 9.84632 4.97754
1 9.90776 4.96737
1 9.96151 4.97238
1 10.02294 4.97233
1 10.06389 4.93183
1 10.02803 4.83828
1 9.96658 4.77511
1 9.90769 4.71952
1 9.85137 4.67404
1 9.78224 4.62858
1 9.71057 4.61346
1 9.66194 4.62868
1 9.67988 4.72983
1 9.72853 4.80566
1 9.77975 4.90678
1 9.68760 4.89674
1 9.60825 4.88163
1 9.54170 4.90192
1 9.48540 4.96772
1 9.42398 5.02342
1 9.36000 5.08417
1 9.31651 5.15502
1 9.29349 5.25114
1 9.30119 5.32195
1 9.34729 5.39778
