z   ABmag     logPhi    hi        lo       left     right
10 -23.49925 -7.43388 -7.11983 -8.26033 -23.99473 -23.00377
10 -23.06175 -6.09091 -5.58678 -6.90496 -23.54142 -22.58208
10 -22.57154 -6.74793 -6.23140 -7.51653 -23.06175 -22.07078
10 -21.25377 -6.00413 -5.50000 -6.69008 -21.60166 -20.85843 
10 -22.49774 -4.80165 -4.16529 -5.51653 -22.99322 -22.00753
10 -21.03238 -4.39669 -3.88430 -5.80165 -21.52259 -20.54217
10 -20.25226 -5.00413 -4.70248 -5.29339 -20.60015 -19.85693
10 -20.09940 -4.79339 -4.43388 -5.23554 -20.60015 -19.60392
10 -20.03087 -4.38843 -3.85950 -5.78099 -20.52108 -19.53539
10 -18.25452 -3.72314 -3.36364 -4.14876 -18.59714 -17.85392
10 -18.22816 -3.20248 -3.01653 -3.39669 -18.60241 -17.86446
10 -18.85015 -3.62810 -3.47107 -3.79752 -19.11898 -18.59714
##
12 -23.49715 -7.44438 -6.92965 -8.20204 -23.98774 -23.00350
12 -21.20981 -5.30367 -4.79375 -6.12628 -21.69733 -20.72536
12 -21.00131 -5.05352 -4.67829 -5.49369 -21.48883 -20.50153
12 -20.35129 -4.99098 -4.70956 -5.32051 -21.21288 -19.51117
12 -20.21025 -4.88515 -4.52435 -5.37102 -20.69470 -19.72580
12 -19.21375 -4.62297 -4.25977 -4.99579 -19.70127 -18.70784
12 -19.00219 -4.56284 -4.31269 -4.83945 -19.48971 -18.50854
12 -18.21419 -3.84606 -3.47805 -4.47865 -18.70171 -17.71134
12 -18.50241 -3.56945 -3.38906 -3.88214 -18.50241 -18.50241
12 -19.31187 -3.72099 -3.47805 -4.42333 -19.31187 -19.31187
12 -20.30837 -3.93265 -3.67769 -4.65424 -20.30837 -20.30837
12 -19.96189 -4.49790 -4.06735 -6.14071 -19.96189 -19.96189
12 -20.96145 -4.99098 -4.75526 -5.69092 -20.96145 -20.96145
##
16 -20.59125 -5.17864 -4.81523 -5.66077 -22.07291 -19.08794
16 -20.35307 -4.98958 -4.70370 -5.31423 -21.19134 -19.49624
16 -19.00133 -4.56271 -4.32043 -4.83406 -19.49624 -18.50950
16 -21.96156 -4.74302 -4.50074 -5.40686 -21.96156 -21.96156
##
9  -22.89905  -6.75092 -6.55290 -7.14943 -23.38486 -22.40379
9  -22.29968  -6.77610 -6.25629 -7.52857 -22.78864 -21.80442
9  -22.35016  -6.01368 -5.88497 -6.21418 -22.55521 -22.14511
9  -22.00000  -6.01888 -5.89264 -6.21195 -22.20505 -21.80442
9  -21.89905  -6.08083 -5.89024 -6.45212 -22.39432 -21.41009
9  -21.59937  -5.83105 -5.64788 -6.12808 -22.15457 -21.03470
9  -21.19874  -5.67539 -5.50955 -5.95509 -21.98107 -20.39432
9  -21.29968  -5.52680 -5.15799 -5.98720 -21.78549 -20.81703
9  -21.11987  -5.15812 -5.00960 -5.39574 -21.50789 -20.73817
9  -21.02839  -4.40076 -3.86363 -5.81660 -21.52681 -20.54890
9  -20.02524  -4.39652 -3.86186 -5.79503 -20.52681 -19.53628
9  -20.32177  -4.59185 -4.46066 -4.77750 -20.70978 -20.00315
9  -20.19874  -4.20332 -3.99540 -4.79243 -20.69085 -19.70978
9  -19.11672  -3.73132 -3.49121 -4.47636 -19.50158 -18.71609
9  -19.02839  -3.65465 -3.39227 -4.11504 -19.51104 -18.52050
9  -18.03155  -2.95733 -2.69001 -3.67020 -18.48896 -17.52681
9  -17.92114  -3.03909 -2.85345 -3.36335 -18.31230 -17.53312
9  -18.49842  -2.92730 -2.72928 -3.13522 -19.00000 -18.00315
9  -19.20189  -3.45650 -3.33274 -3.63473 -19.67508 -18.70347
9  -18.76972  -3.42463 -3.17463 -4.14493 -18.76972 -18.76972
9  -18.29968  -3.47447 -3.27397 -3.87793 -18.29968 -18.29968
