type  z   rho  hi   lo  left  right
0 4.00769 26.78190 27.00675 26.58179  -1  -1
0 5.00240 26.61102 26.79989 26.36818  -1  -1
0 6.00432 26.08938 26.32322 25.90500  -1  -1
0 5.89620 26.23553 26.28724 26.17931  -1  -1
0 2.99856 26.93929 27.02923 26.85835  -1  -1
0 3.79865 26.86734 26.92355 26.79089  -1  -1
0 6.79721 25.94098 25.99044 25.88477  -1  -1
0 6.99904 25.90500 26.11636 25.74986  -1  -1
0 9.07496  25.14952 25.28443 25.01911 -1  -1
0 9.60115  24.94716 25.21922 24.21417 -1  -1
0 10.39404 24.47049 24.82574 24.02530 -1  -1
0 10.50216 24.64362 25.01686 24.35132 -1  -1
0 12.60692 25.06408 25.42833 24.58291 -1  -1
0 12.89524 24.75379 24.98314 24.47948 -1  -1
0 16.32629 24.23215 24.55368 22.54132 -1  -1
0 17.60211 24.83924 25.35188 24.14221 -1  -1
##
1 8.00096 25.47780 25.74761 25.20349  7.51802 8.46949
1 13.24844 24.08375 24.27038 23.84992 11.51850 14.95675
