z        rho
5.69873 6.51413
5.84697 6.44704
5.93563 6.41218
6.02429 6.37807
6.11295 6.34960
6.20160 6.32073
6.29026 6.29226
6.37892 6.26339
6.46757 6.23492
6.55623 6.20605
6.64488 6.17758
6.73354 6.14911
6.82220 6.12024
6.91085 6.09137
6.99951 6.06290
7.08817 6.03403
7.17682 6.00556
7.26548 5.97629
7.35414 5.94822
7.44279 5.91895
7.53145 5.89008
7.62011 5.86121
7.70474 5.82903
7.79742 5.80306
7.88608 5.77419
7.97473 5.74170
8.06339 5.70920
8.15205 5.67711
8.24071 5.64623
8.32936 5.61937
8.41802 5.59251
8.50668 5.56445
8.59533 5.53718
8.68399 5.50831
8.77264 5.47944
8.86130 5.45097
8.94996 5.42210
9.03862 5.39162
9.12727 5.35953
9.21593 5.32704
9.30459 5.29615
9.39325 5.26608
9.48190 5.23801
9.57056 5.20914
9.65922 5.18067
9.74787 5.15220
9.83653 5.12333
9.99560 5.07193
