z  log_rhouv lo  up  left  right
# Harikane+2023 photoz
9  25.28  0.16  0.19 9     9
12 24.61  0.26  0.26 12    12
16 24.24  2.83  0.33 16    16
# Bouwens2022a
8    25.21 0.28 0.28 8     8 
10.0 24.69 0.14 0.14 10    10
12.9 24.39 0.27 0.23 12.9  12.9
17.6 24.39 0.70 0.52 17.6  17.6
# Bouwens2022b
8.7  25.15 0.24 0.24 8.7   8.7
10.5 24.33 0.30 0.30 10.5  10.5
12.6 24.91 0.48 0.37 12.6  12.6
# Bouwens2020
3.0  26.55 0.06 0.06 3     3
3.8  26.52 0.06 0.06 3.8   3.8
4.9  26.30 0.06 0.06 4.9   4.9
5.9  26.10 0.06 0.06 5.9   5.9
6.8  25.98 0.06 0.06 6.8   6.8
7.9  25.67 0.06 0.06 7.9   7.9
10.4 24.62 0.45 0.36 10.4  10.4
# McLeod2023
11   25.16 0.20 0.14 9.5   12.5
