Lnu Phiu 
-13.28183 -2.57134
-13.26177 -2.58397
-13.24202 -2.59467
-13.22306 -2.60748
-13.20372 -2.61754
-13.18427 -2.62892
-13.16501 -2.63995
-13.14495 -2.65259
-13.12520 -2.66328
-13.10624 -2.67615
-13.08773 -2.68543
-13.07286 -2.70077
-13.05497 -2.71035
-13.03859 -2.72560
-13.02050 -2.73577
-13.00411 -2.75101
-12.98603 -2.76131
-12.96964 -2.77649
-12.95155 -2.78672
-12.93517 -2.80216
-12.91728 -2.81137
-12.90241 -2.82718
-12.88468 -2.83838
-12.87565 -2.85896
-12.85787 -2.87040
-12.84884 -2.89098
-12.83106 -2.90242
-12.82264 -2.92261
-12.80406 -2.94057
-12.78509 -2.95756
-12.77607 -2.97880
-12.75828 -2.98958
-12.74925 -3.01082
-12.73233 -3.02123
-12.72285 -3.04211
-12.70448 -3.06065
-12.68429 -3.07428
-12.66438 -3.08476
-12.64344 -3.09500
-12.62248 -3.10554
-12.60131 -3.11622
-12.58068 -3.12607
-12.55949 -3.13706
-12.53821 -3.14746
-12.51759 -3.15782
-12.49740 -3.16982
-12.47966 -3.18631
-12.46160 -3.19791
-12.44843 -3.21513
-12.43085 -3.22530
-12.41598 -3.24292
-12.39840 -3.25302
-12.38523 -3.27017
-12.36765 -3.28039
-12.35278 -3.29782
-12.33520 -3.30791
-12.32204 -3.32535
-12.30446 -3.33549
-12.28959 -3.35157
-12.27170 -3.36083
-12.25531 -3.37576
-12.23723 -3.38561
-12.22084 -3.40054
-12.20276 -3.41064
-12.18637 -3.42563
-12.16828 -3.43542
-12.15190 -3.45035
-12.13353 -3.46085
-12.11579 -3.47571
-12.09763 -3.48638
-12.08276 -3.50630
-12.06517 -3.51888
-12.05393 -3.53901
-12.03629 -3.54956
-12.02727 -3.56883
-12.00948 -3.57880
-12.00046 -3.59816
-11.98282 -3.60862
-11.97158 -3.62882
-11.95409 -3.63988
-11.94286 -3.65993
-11.92522 -3.67046
-11.91619 -3.68982
-11.89900 -3.69887
-11.89294 -3.71965
-11.87787 -3.74044
-11.86421 -3.76709
-11.85080 -3.79242
-11.83740 -3.81758
-11.82399 -3.84298
-11.81059 -3.86822
-11.79718 -3.89371
-11.78378 -3.91887
-11.77037 -3.94436
-11.75697 -3.96952
-11.74356 -3.99492
-11.73015 -4.02016
-11.71675 -4.04557
-11.70334 -4.07106
-11.69336 -4.10189
-11.68171 -4.12864
-11.66849 -4.15928
-11.65682 -4.18656
-11.64557 -4.21462
-11.63248 -4.24508
-11.62067 -4.27358
-11.60917 -4.30361
-11.59610 -4.33429
-11.58429 -4.36253
-11.57280 -4.38979
-11.56131 -4.41717
-11.54982 -4.44462
-11.53833 -4.47206
-11.52682 -4.49966
-11.51466 -4.52437
-11.50369 -4.55232
-11.49528 -4.58071
-11.49077 -4.60860
-11.48443 -4.63552
-11.47837 -4.66899
