Lnu Phiu
-13.28183 -1.59772
-13.26177 -1.60877
-13.24161 -1.61825
-13.22155 -1.62898
-13.20140 -1.63862
-13.18134 -1.64956
-13.16118 -1.65920
-13.14112 -1.67015
-13.12096 -1.67946
-13.10136 -1.68976
-13.08039 -1.69782
-13.05944 -1.70497
-13.03816 -1.71385
-13.01770 -1.72131
-12.99603 -1.72986
-12.97436 -1.73841
-12.95390 -1.74587
-12.93262 -1.75402
-12.91128 -1.76290
-12.89191 -1.77187
-12.87417 -1.78716
-12.85580 -1.79798
-12.83942 -1.81329
-12.82153 -1.82266
-12.80666 -1.83813
-12.78897 -1.84681
-12.77410 -1.86215
-12.75642 -1.87076
-12.74155 -1.88636
-12.72386 -1.89484
-12.70899 -1.91025
-12.69007 -1.92022
-12.67001 -1.93128
-12.64985 -1.94081
-12.62979 -1.95148
-12.60964 -1.96112
-12.58957 -1.97207
-12.56942 -1.98171
-12.54936 -1.99265
-12.52920 -2.00229
-12.50914 -2.01346
-12.49032 -2.02330
-12.47908 -2.04480
-12.46231 -2.05564
-12.45283 -2.07737
-12.43445 -2.09656
-12.41548 -2.11355
-12.40645 -2.13479
-12.38926 -2.14495
-12.38217 -2.16543
-12.36359 -2.18348
-12.34462 -2.20047
-12.33621 -2.22085
-12.31809 -2.23928
-12.29848 -2.26190
-12.27936 -2.27431
-12.26297 -2.28759
-12.24426 -2.29652
-12.22530 -2.30921
-12.20596 -2.31939
-12.18700 -2.33209
-12.16800 -2.34237
-12.15026 -2.35561
-12.13127 -2.36514
-12.11231 -2.37783
-12.09360 -2.38753
-12.07721 -2.40335
-12.05932 -2.41298
-12.04445 -2.42872
-12.02657 -2.43848
-12.01018 -2.45430
-11.99230 -2.46397
-11.97743 -2.47971
-11.95974 -2.48866
-11.94487 -2.50447
-11.92718 -2.51348
-11.91231 -2.52922
-11.89415 -2.53907
-11.87641 -2.55232
-11.85776 -2.56195
-11.84002 -2.57519
-11.82137 -2.58434
-11.80363 -2.59806
-11.78464 -2.60759
-11.76568 -2.62108
-11.74668 -2.63093
-11.72894 -2.64417
-11.71030 -2.65380
-11.69256 -2.66728
-11.67419 -2.67668
-11.65781 -2.69116
-11.63992 -2.69909
-11.62505 -2.71369
-11.60736 -2.72236
-11.58758 -2.73762
-11.56737 -2.74686
-11.54354 -2.76480
-11.52513 -2.77840
-11.50778 -2.78843
-11.49383 -2.80769
-11.47796 -2.83216
-11.46396 -2.86092
-11.45070 -2.88540
-11.43379 -2.91271
-11.41991 -2.94229
-11.40714 -2.97214
-11.38352 -3.01881
-11.37012 -3.04096
-11.35671 -3.06678
-11.34286 -3.09284
-11.32886 -3.11716
-11.31458 -3.14293
-11.30117 -3.16877
-11.27787 -3.23249
-11.26638 -3.25841
-11.25489 -3.28484
-11.24071 -3.31269
-11.22979 -3.33612
-11.21308 -3.37147
-11.20757 -3.39542
-11.19074 -3.42440
-11.17407 -3.46843
-11.16272 -3.49372
-11.15132 -3.51741
-11.14177 -3.54603
-11.12690 -3.57533
-11.11471 -3.60314
-11.10332 -3.62792
-11.09371 -3.65513
-11.08658 -3.68909
-11.07813 -3.71795
-11.07088 -3.74657
-11.06131 -3.77330
-11.05141 -3.80304
-11.04149 -3.84169
-11.03115 -3.87509
-11.02306 -3.91467
-11.01998 -3.94675
-11.01152 -3.97108
-11.00406 -3.99770
-10.98965 -4.02605
-10.98104 -4.05921
-10.97337 -4.08780
-10.95636 -4.17821
-10.94832 -4.21046
-10.94066 -4.23919
-10.92606 -4.30731
-10.91552 -4.33733
-10.90762 -4.36513
-10.90003 -4.39254
-10.89242 -4.42182
-10.88656 -4.44938
-10.87958 -4.47541
-10.87219 -4.49665
-10.86046 -4.53153
-10.85113 -4.57156
-10.84443 -4.60358
-10.83951 -4.63888
-10.83540 -4.67130
