Lnu Phiu
-13.21066 -1.19350
-13.19052 -1.19813
-13.16828 -1.20311
-13.14807 -1.20716
-13.12661 -1.21224
-12.99854 -1.29574
-12.98367 -1.31203
-12.96578 -1.32204
-12.94746 -1.33044
-12.93458 -1.33441
-12.84557 -1.43728
-12.82451 -1.45697
-12.80344 -1.47645
-12.78238 -1.49613
-12.67321 -1.58500
-12.65212 -1.59410
-12.63679 -1.60073
-12.47581 -1.67629
-12.45392 -1.69257
-12.43665 -1.71032
-12.41808 -1.72383
-12.41071 -1.73970
-12.31521 -1.84079
-12.29762 -1.85338
-12.28640 -1.87064
-12.26860 -1.87909
-12.25221 -1.89435
-12.23751 -1.89590
-12.13708 -1.97829
-12.11918 -1.98856
-12.10280 -2.00363
-12.08321 -2.01410
-12.06242 -2.02286
-11.94018 -2.07977
-11.92031 -2.08884
-11.90072 -2.09650
-11.88434 -2.11518
-11.86862 -2.14034
-11.79040 -2.25091
-11.77369 -2.26145
-11.76865 -2.28177
-11.75190 -2.30052
-11.73501 -2.32262
-11.66777 -2.45314
-11.65481 -2.47565
-11.64450 -2.50337
-11.63223 -2.53106
-11.56996 -2.68014
-11.53143 -2.75995
-11.52464 -2.77851
-11.46787 -2.90422
-11.44963 -2.92103
-11.43505 -2.94819
-11.42115 -2.97803
-11.35323 -3.11815
-11.33643 -3.13844
-11.32226 -3.16428
-11.30827 -3.19263
-11.24970 -3.34034
-11.23850 -3.36313
-11.22682 -3.38911
-11.21509 -3.41730
-11.20433 -3.42954
-11.15694 -3.56780
-11.14462 -3.59199
-11.13633 -3.62099
-11.12396 -3.64743
-11.11338 -3.66120
-11.07230 -3.79679
-11.06493 -3.82154
-11.05664 -3.84691
-11.04563 -3.87789
-11.03745 -3.89991
-11.00223 -4.03430
-10.99483 -4.06363
-10.98547 -4.08865
-10.97541 -4.11754
-10.96677 -4.14450
-10.93266 -4.27525
-10.92316 -4.30280
-10.91267 -4.33276
-10.90480 -4.36051
-10.89724 -4.38787
-10.88968 -4.41709
-10.88385 -4.44461
-10.87691 -4.47060
-10.87433 -4.51811
-10.87076 -4.54700
-10.86466 -4.57117
-10.85969 -4.60025
-10.85566 -4.62589
