m phi
36.94611 -0.44809
36.57417 -0.55794
36.24138 -0.65995
35.94769 -0.76193
35.63455 -0.83259
35.30178 -0.92675
34.98844 -1.06008
34.69481 -1.14639
34.30337 -1.24059
33.97062 -1.32693
33.71610 -1.41322
33.44198 -1.51519
33.18748 -1.59366
32.91331 -1.71129
32.61965 -1.80544
32.34552 -1.90741
32.03239 -1.97807
31.79735 -2.08785
31.58192 -2.18196
31.30782 -2.27610
30.99465 -2.35459
30.72045 -2.48006
30.46585 -2.58985
30.17207 -2.72317
29.91747 -2.83296
29.62384 -2.91928
29.42792 -3.02904
29.17330 -3.14667
28.93810 -3.30345
28.74220 -3.40538
28.50714 -3.52299
28.25255 -3.63279
28.05662 -3.74255
27.82151 -3.87583
27.60597 -4.00127
27.44909 -4.13451
27.27264 -4.26776
27.11580 -4.38534
26.93936 -4.51859
26.74333 -4.65968
26.52775 -4.80079
26.37078 -4.95753
26.23338 -5.11426
26.13518 -5.23964
25.97822 -5.39638
25.84084 -5.54527
25.66437 -5.68636
25.54654 -5.83524
25.40916 -5.98414
25.31091 -6.12518
